lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_1_01_f000002|W początkach roku tysiąc osiemset siedemdziesiątego ósmego, kiedy świat polityczny zajmował się pokojem san stefańskim, wyborem nowego papieża,|W początkach r. jedna tysiąc osiemset siedemdziesiąt osiem kiedy świat polityczny zajmował się pokojem san-stefańskim wyborem nowego papieża
lalka_1_01_f000003|albo szansami europejskiej wojny, warszawscy kupcy, tudzież inteligencya pewnej okolicy Krakowskiego Przedmieścia,|albo szansami europejskiej wojny warszawscy kupcy tudzież inteligencya pewnej okolicy Krakowskiego Przedmieścia
lalka_1_01_f000004|niemniej gorąco interesowała się przyszłością galanteryjnego sklepu pod firmą J. Mincel i S. Wokulski.|niemniej gorąco interesowała się przyszłością galanteryjnego sklepu pod firmą J. Mincel i S. Wokulski.
lalka_1_01_f000005|W renomowanej jadłodajni, gdzie na wieczorną przekąskę zbierali się właściciele składów bielizny i składów win,|W renomowanej jadłodajni gdzie na wieczorną przekąskę zbierali się właściciele składów bielizny i składów win
lalka_1_01_f000006|fabrykanci powozów i kapeluszy, poważni ojcowie rodzin utrzymujący się z własnych funduszów i posiadacze kamienic bez zajęcia, równie dużo mówiono o uzbrojeniach Anglii, jak o firmie J.|fabrykanci powozów i kapeluszy poważni ojcowie rodzin utrzymujący się z własnych funduszów i posiadacze kamienic bez zajęcia równie dużo mówiono o uzbrojeniach Anglii jak o firmie J.
lalka_1_01_f000007|Mincel i S. Wokulski. Zatopieni w kłębach dymu cygar i pochyleni nad butelkami z ciemnego szkła, obywatele tej dzielnicy, jedni zakładali się o wygranę lub przegranę Anglii, drudzy o bankructwo Wokulskiego;|Mincel i S. Wokulski. Zatopieni w kłębach dymu cygar i pochyleni nad butelkami z ciemnego szkła obywatele tej dzielnicy jedni zakładali się o wygranę lub przegranę Anglii drudzy o bankructwo Wokulskiego;
lalka_1_01_f000008|jedni nazywali geniuszem Bismarka, drudzy - awanturnikiem Wokulskiego;|jedni nazywali geniuszem Bismarka drudzy - awanturnikiem Wokulskiego;
lalka_1_01_f000009|jedni krytykowali postępowanie prezydenta Mac-Mahona, inni twierdzili, że Wokulski jest zdecydowanym Wariatem, jeżeli nie czemś gorszem.|jedni krytykowali postępowanie prezydenta Mac-Mahona inni twierdzili że Wokulski jest zdecydowanym Wariatem jeżeli nie czemś gorszem.
lalka_1_01_f000010|Pan Deklewski, fabrykant powozów, który majątek i stanowisko zawdzięczał wytrwałej pracy w jednym fachu, tudzież radca Węgrowicz,|Pan Deklewski fabrykant powozów który majątek i stanowisko zawdzięczał wytrwałej pracy w jednym fachu tudzież radca Węgrowicz
lalka_1_01_f000011|który od dwudziestu lat był członkiem opiekunem jednego i tego samego Towarzystwa dobroczynności, znali S. Wokulskiego najdawniej i najgłośniej przepowiadali mu ruinę.|który od dwadzieścia-tu lat był członkiem opiekunem jednego i tego samego Towarzystwa dobroczynności znali S. Wokulskiego najdawniej i najgłośniej przepowiadali mu ruinę.
lalka_1_01_f000012|- Na ruinie bowiem i niewypłacalności - mówił pan Deklewski - musi skończyć człowiek, który nie pilnuje się jednego fachu, i nie umie uszanować darów łaskawej fortuny.|- Na ruinie bowiem i niewypłacalności - mówił pan Deklewski - musi skończyć człowiek który nie pilnuje się jednego fachu i nie umie uszanować darów łaskawej fortuny.
lalka_1_01_f000013|Zaś radca Węgrowicz, po każdej również głębokiej sentencji swego przyjaciela, dodawał:|Zaś radca Węgrowicz po każdej również głębokiej sentencji swego przyjaciela dodawał:
lalka_1_01_f000014|Wariat! Wariat!... Awanturnik!... Józiu, przynieśno jeszcze piwa. A która to butelka?|Wariat! Wariat!... Awanturnik!... Józiu przynieśno jeszcze piwa. A która to butelka?
lalka_1_01_f000015|Szósta, panie radco. Służę piorunem!... - odpowiadał Józio.|Szósta panie radco. Służę piorunem!... - odpowiadał Józio.
lalka_1_01_f000016|Już szósta?... Jak ten czas leci!... Wariat! Wariat! - mruczał radca Węgrowicz.|Już szósta?... Jak ten czas leci!... Wariat! Wariat! - mruczał radca Węgrowicz.
